"","Control_1","Control_2","Control_3","Treated_1","Treated_2","Treated_3"
"Gene_1",52,88,96,62,95,147
"Gene_2",63,76,94,57,97,122
"Gene_3",45,78,98,54,83,122
"Gene_4",57,73,91,58,96,99
"Gene_5",66,75,95,66,82,130
"Gene_6",59,74,110,61,109,116
"Gene_7",48,89,109,59,104,144
"Gene_8",45,85,103,57,104,105
"Gene_9",63,70,104,54,85,104
"Gene_10",58,85,86,62,91,111
"Gene_11",58,90,96,64,98,98
"Gene_12",56,58,105,67,113,100
"Gene_13",52,74,122,75,95,118
"Gene_14",64,85,96,67,95,112
"Gene_15",61,80,131,73,86,128
"Gene_16",55,70,98,64,92,116
"Gene_17",50,93,94,64,90,124
"Gene_18",49,75,104,55,97,108
"Gene_19",54,64,96,58,112,102
"Gene_20",51,87,108,75,109,136
"Gene_21",62,88,96,66,92,146
"Gene_22",55,67,107,57,103,123
"Gene_23",48,78,124,64,94,98
"Gene_24",48,68,101,55,97,102
"Gene_25",54,72,96,60,89,114
"Gene_26",54,85,110,54,101,132
"Gene_27",55,83,103,60,77,120
"Gene_28",61,91,108,53,92,87
"Gene_29",55,82,87,66,92,112
"Gene_30",57,84,88,58,94,126
"Gene_31",74,89,105,58,116,106
"Gene_32",53,78,90,62,86,138
"Gene_33",58,72,100,70,107,124
"Gene_34",61,78,116,58,91,128
"Gene_35",55,84,122,70,90,130
"Gene_36",64,90,107,67,113,120
"Gene_37",50,71,104,59,101,120
"Gene_38",53,72,121,67,89,108
"Gene_39",50,99,94,54,108,130
"Gene_40",55,77,104,57,95,134
"Gene_41",57,74,104,58,96,123
"Gene_42",55,69,92,57,83,135
"Gene_43",55,71,116,73,107,126
"Gene_44",64,87,112,50,101,122
"Gene_45",54,83,101,69,86,108
"Gene_46",52,81,108,72,100,129
"Gene_47",59,84,92,46,107,118
"Gene_48",57,81,110,82,98,110
"Gene_49",57,75,105,60,91,118
"Gene_50",58,80,116,68,86,126
"Gene_51",52,76,101,74,100,105
"Gene_52",69,82,110,68,104,118
"Gene_53",48,81,87,63,103,120
"Gene_54",57,91,113,62,103,106
"Gene_55",59,68,126,73,77,129
"Gene_56",56,94,101,60,103,135
"Gene_57",62,82,100,42,101,126
"Gene_58",69,82,99,62,113,100
"Gene_59",52,68,100,59,100,117
"Gene_60",50,64,82,70,86,122
"Gene_61",51,86,109,66,92,128
"Gene_62",59,69,103,63,94,112
"Gene_63",55,65,92,63,101,128
"Gene_64",51,96,109,64,86,105
"Gene_65",57,84,121,67,86,116
"Gene_66",55,83,104,58,83,104
"Gene_67",56,97,109,58,74,130
"Gene_68",58,90,94,66,76,123
"Gene_69",53,84,82,63,106,134
"Gene_70",51,72,95,80,97,123
"Gene_71",57,76,92,65,84,132
"Gene_72",62,75,94,66,84,122
"Gene_73",58,77,92,53,88,138
"Gene_74",54,65,120,68,83,106
"Gene_75",57,68,98,58,89,116
"Gene_76",52,83,101,66,97,104
"Gene_77",57,66,100,67,102,117
"Gene_78",52,86,103,56,95,122
"Gene_79",64,73,116,54,118,124
"Gene_80",52,69,103,66,88,135
"Gene_81",65,85,109,62,82,158
"Gene_82",54,89,105,54,98,141
"Gene_83",57,81,131,62,92,116
"Gene_84",66,87,120,62,109,102
"Gene_85",56,74,107,68,92,116
"Gene_86",63,71,108,60,74,105
"Gene_87",52,85,127,68,103,130
"Gene_88",55,66,103,74,104,120
"Gene_89",50,76,130,57,95,88
"Gene_90",59,77,92,66,97,122
"Gene_91",54,67,121,63,77,130
"Gene_92",52,86,108,70,94,114
"Gene_93",59,78,90,68,98,128
"Gene_94",54,80,81,70,90,122
"Gene_95",59,76,131,58,91,123
"Gene_96",57,90,107,57,98,129
"Gene_97",56,90,94,77,100,129
"Gene_98",52,69,104,55,104,132
"Gene_99",62,91,124,56,95,116
"Gene_100",61,80,122,57,79,111
"Gene_101",58,66,109,60,92,135
"Gene_102",58,86,96,69,94,122
"Gene_103",59,82,95,62,107,117
"Gene_104",67,82,90,57,114,120
"Gene_105",59,92,113,43,112,117
"Gene_106",51,73,112,72,88,128
"Gene_107",56,88,100,64,109,132
"Gene_108",50,66,116,57,86,130
"Gene_109",62,62,116,66,90,118
"Gene_110",63,71,101,57,91,114
"Gene_111",66,101,105,65,104,141
"Gene_112",57,82,98,57,90,105
"Gene_113",53,79,120,58,100,117
"Gene_114",63,64,103,63,95,134
"Gene_115",46,82,98,64,83,117
"Gene_116",59,82,104,67,89,126
"Gene_117",55,81,105,74,86,129
"Gene_118",58,77,90,51,97,129
"Gene_119",49,91,96,70,91,118
"Gene_120",71,77,118,66,112,134
"Gene_121",41,66,98,78,103,117
"Gene_122",57,79,104,66,107,132
"Gene_123",49,76,101,65,97,128
"Gene_124",55,80,103,58,92,142
"Gene_125",55,78,108,61,92,117
"Gene_126",46,74,88,72,100,92
"Gene_127",62,87,91,58,91,116
"Gene_128",53,81,110,57,80,116
"Gene_129",52,65,92,68,94,110
"Gene_130",48,77,109,63,91,99
"Gene_131",44,71,107,54,80,120
"Gene_132",57,76,94,58,104,130
"Gene_133",59,67,116,62,103,110
"Gene_134",52,89,90,49,100,129
"Gene_135",58,81,129,66,100,118
"Gene_136",68,87,95,85,88,118
"Gene_137",48,95,104,78,101,122
"Gene_138",55,75,88,77,98,138
"Gene_139",69,81,94,59,107,134
"Gene_140",51,92,105,54,94,99
"Gene_141",67,95,125,61,84,122
"Gene_142",50,96,99,63,92,142
"Gene_143",58,68,98,63,94,106
"Gene_144",52,81,120,66,96,122
"Gene_145",50,85,81,66,108,129
"Gene_146",53,97,92,67,112,124
"Gene_147",43,65,117,57,94,111
"Gene_148",55,77,104,65,82,120
"Gene_149",62,84,88,61,110,116
"Gene_150",56,78,96,60,92,142
"Gene_151",60,84,103,71,103,128
"Gene_152",52,93,99,60,78,123
"Gene_153",60,82,114,71,95,148
"Gene_154",60,93,95,75,96,140
"Gene_155",64,84,112,58,90,126
"Gene_156",52,78,110,61,91,134
"Gene_157",68,79,99,73,103,123
